CPU Utilization,Memory Usage,Disk IO,Network Latency,Load
51,35,14,2,Low-Load
49,30,14,2,Low-Load
47,32,13,2,Low-Load
46,31,15,2,Low-Load
50,36,14,2,Low-Load
54,39,17,4,Low-Load
46,34,14,3,Low-Load
50,34,15,2,Low-Load
44,29,14,2,Low-Load
49,31,15,1,Low-Load
54,37,15,2,Low-Load
48,34,16,2,Low-Load
48,30,14,1,Low-Load
43,30,11,1,Low-Load
58,40,12,2,Low-Load
57,44,15,4,Low-Load
54,39,13,4,Low-Load
51,35,14,3,Low-Load
57,38,17,3,Low-Load
51,38,15,3,Low-Load
54,34,17,2,Low-Load
51,37,15,4,Low-Load
46,36,10,2,Low-Load
51,33,17,5,Low-Load
48,34,19,2,Low-Load
50,30,16,2,Low-Load
50,34,16,4,Low-Load
52,35,15,2,Low-Load
52,34,14,2,Low-Load
47,32,16,2,Low-Load
48,31,16,2,Low-Load
54,34,15,4,Low-Load
52,41,15,1,Low-Load
55,42,14,2,Low-Load
49,31,15,1,Low-Load
50,32,12,2,Low-Load
55,35,13,2,Low-Load
49,31,15,1,Low-Load
44,30,13,2,Low-Load
51,34,15,2,Low-Load
50,35,13,3,Low-Load
45,23,13,3,Low-Load
44,32,13,2,Low-Load
50,35,16,6,Low-Load
51,38,19,4,Low-Load
48,30,14,3,Low-Load
51,38,16,2,Low-Load
46,32,14,2,Low-Load
53,37,15,2,Low-Load
50,33,14,2,Low-Load
70,32,47,14,Medium-Load
64,32,45,15,Medium-Load
69,31,49,15,Medium-Load
55,23,40,13,Medium-Load
65,28,46,15,Medium-Load
57,28,45,13,Medium-Load
63,33,47,16,Medium-Load
49,24,33,10,Medium-Load
66,29,46,13,Medium-Load
52,27,39,14,Medium-Load
50,20,35,10,Medium-Load
59,30,42,15,Medium-Load
60,22,40,10,Medium-Load
61,29,47,14,Medium-Load
56,29,36,13,Medium-Load
67,31,44,14,Medium-Load
56,30,45,15,Medium-Load
58,27,41,10,Medium-Load
62,22,45,15,Medium-Load
56,25,39,11,Medium-Load
59,32,48,18,Medium-Load
61,28,40,13,Medium-Load
63,25,49,15,Medium-Load
61,28,47,12,Medium-Load
64,29,43,13,Medium-Load
66,30,44,14,Medium-Load
68,28,48,14,Medium-Load
67,30,50,17,Medium-Load
60,29,45,15,Medium-Load
57,26,35,10,Medium-Load
55,24,38,11,Medium-Load
55,24,37,10,Medium-Load
58,27,39,12,Medium-Load
60,27,51,16,Medium-Load
54,30,45,15,Medium-Load
60,34,45,16,Medium-Load
67,31,47,15,Medium-Load
63,23,44,13,Medium-Load
56,30,41,13,Medium-Load
55,25,40,13,Medium-Load
55,26,44,12,Medium-Load
61,30,46,14,Medium-Load
58,26,40,12,Medium-Load
50,23,33,10,Medium-Load
56,27,42,13,Medium-Load
57,30,42,12,Medium-Load
57,29,42,13,Medium-Load
62,29,43,13,Medium-Load
51,25,30,11,Medium-Load
57,28,41,13,Medium-Load
63,33,60,25,High-Load
58,27,51,19,High-Load
71,30,59,21,High-Load
63,29,56,18,High-Load
65,30,58,22,High-Load
76,30,66,21,High-Load
49,25,45,17,High-Load
73,29,63,18,High-Load
67,25,58,18,High-Load
72,36,61,25,High-Load
65,32,51,20,High-Load
64,27,53,19,High-Load
68,30,55,21,High-Load
57,25,50,20,High-Load
58,28,51,24,High-Load
64,32,53,23,High-Load
65,30,55,18,High-Load
77,38,67,22,High-Load
77,26,69,23,High-Load
60,22,50,15,High-Load
69,32,57,23,High-Load
56,28,49,20,High-Load
77,28,67,20,High-Load
63,27,49,18,High-Load
67,33,57,21,High-Load
72,32,60,18,High-Load
62,28,48,18,High-Load
61,30,49,18,High-Load
64,28,56,21,High-Load
72,30,58,16,High-Load
74,28,61,19,High-Load
79,38,64,20,High-Load
64,28,56,22,High-Load
63,28,51,15,High-Load
61,26,56,14,High-Load
77,30,61,23,High-Load
63,34,56,24,High-Load
64,31,55,18,High-Load
60,30,48,18,High-Load
69,31,54,21,High-Load
67,31,56,24,High-Load
69,31,51,23,High-Load
58,27,51,19,High-Load
68,32,59,23,High-Load
67,33,57,25,High-Load
67,30,52,23,High-Load
63,25,50,19,High-Load
65,30,52,20,High-Load
62,34,54,23,High-Load
59,30,51,18,High-Load
